인증구분,인증번호,인증제품명,업체명,사업자등록번호,대표자,인증일자,만료일자
NET,ATP-25-00107,미생물과 Teaseed 오일 이용한 천연 살균제,농업회사법인투엠바이오㈜,,,2025-04-24,2027-12-18
NET,AT-25-00049,에탄올과 건조시스템을 결합한 유해성 저감 포장재 제조기술,주식회사 신명팩,,,2025-04-24,2029-04-23
NET,ATP-25-00060,에탄올과 건조시스템을 결합한 유해성 저감 포장재,주식회사 신명팩,,,2025-04-24,2029-04-23
NET,AE-25-00002,친환경 후렉소 인쇄기를 활용한 유해성 저감 포장재 제조 기술,주식회사 풍림P&P,,,2025-03-13,2028-03-12
NET,AE-25-00001,식물 추출물을 이용한 해충 방제 기술,(주)자연과미래,,,2025-03-13,2028-03-12
NET,ATP-25-00024,유해성 저감형 연포장재 제품,주식회사 풍림P&P,,,2025-03-13,2026-04-19
NET,ATP-24-00849,스모클리너,(주)코발트테크놀러지,,,2025-03-13,2027-12-18
NET,ATP-24-00846,식품용기,(주)에코매스,,,2025-03-13,2027-12-18
NET,ATP-24-00845,컵,(주)에코매스,,,2025-03-13,2027-12-18
NET,ATP-24-00844,밀폐용기,(주)에코매스,,,2025-03-13,2027-12-18
NET,ATP-24-00843,칫솔,(주)에코매스,,,2025-03-13,2027-12-18
NET,ATP-24-00842,식품기구,(주)에코매스,,,2025-03-13,2027-12-18
NET,ATP-24-00841,조리용 도마,(주)에코매스,,,2025-03-13,2027-12-18
NET,ATP-24-00840,지퍼백,(주)에코매스,,,2025-03-13,2027-12-18
NET,ATP-24-00839,위생장갑,(주)에코매스,,,2025-03-13,2027-12-18
NET,ATP-24-00838,위생백,(주)에코매스,,,2025-03-13,2027-12-18
NET,AT-24-00543,천연물 기반 첨가제를 이용한 단시간 숙성 그라브락스 생산기술,㈜씨웰,,,2025-01-23,2028-01-22
NET,AT-24-00584,3단계 응축폐열 이용 제상 에너지 절감 냉동 시스템 기술,㈜신진에너텍,,,2025-01-23,2028-01-22
NET,ATP-25-00800,3단계 응축폐열 이용 제상 에너지 절감 냉동 시스템,㈜신진에너텍,,,2025-01-23,2028-01-22
NET,11-109,저아밀로스 및 향 증진 신품종(오복진선향 천혜진선향) 육종 기술,주식회사 시드피아바이오,,조유현,2024-12-30,2027-12-29
NET,33-134,유산균종 확인을 통한 프로바이오틱스 제품 품질 관리 기술,종근당건강(주),,김호곤,2024-12-30,2026-12-29
NET,53-144,AI 기반 소비자 맞춤형 3D 식품 프린팅 기술,주식회사 탑테이블,,유현주,2024-12-30,2026-12-29
NET,31-114,고차단성의 친환경 합지 포장재 제조 기술,소프트팩 주식회사,,유하경,2024-12-30,2026-12-29
NET,21-112,IoT 디바이스 기반 소의 체온 측정 및 활동량 측정기술,주식회사 팜프로,2338801136,박병옥,2024-12-30,2026-12-29
NET,32-184,장미꽃잎추출물(NOVAROSE)을 이용한 건강기능식품 이중 피부 기능성 원료 개발 기술,주식회사 노바웰스,,이정래,2024-12-27,2027-12-26
NET,32-185,미세먼지에 의한 호흡기 증상을 개선할 수 있는 건강기능식품 소재 개발 기술,코스맥스엔에스 주식회사,,김상우,2024-12-27,2027-12-26
NET,52-189,토양 병해충 방제를 위한 융복합 나노제형 생물농약 개발,농업회사법인 투엠바이오 주식회사,,남명흔,2024-12-27,2026-12-26
NET,52-187,이탄을 유효성분으로 포함하는 식물 식재용 토양개량제 기술,(주)대지개발,,이동석,2024-12-27,2027-12-26
NET,53-190,지면롤링에 의한 굴곡대응이 가능하고 장애물 인식 및 경로좌표 추종에 의한 무인주행형 전동동력제초 기술,주식회사 한국쓰리축,,유구현,2024-12-27,2027-12-26
NET,51-186,논 범용화를 위한 왕겨 충진형 땅속배수 기술,주식회사 아크로티엔에스,,김소리,2024-12-27,2026-12-26
NET,53-192,악취물질 자연발화가 동반되는 배기열 회수 및 직접 가열방식과 병류 및 경사형 로터리 킬른을 이용한 축산분뇨 고온 건조기술,주식회사 엔티엔에코텍,,류명상,2024-12-27,2026-12-26
NET,12-181,one-stop 곡물발아건조기술,버드테크 주식회사,,한태식,2024-12-27,2026-12-26
NET,31-183,수용성 그라비아 인쇄 표준화 기술,주식회사 에스피씨팩 (주)삼성잉크,,김창대 박진철 박진석,2024-12-27,2027-12-26
NET,53-191,전기와 인터넷이 없는 곳에서도 정밀농업이 가능한 노지농장에 특화된 무선 이동형 AI 스마트농업 시스템(RAS) 기술,농업회사법인 심바이오틱 주식회사,,김보영,2024-12-27,2026-12-26
NET,52-188,나노제형 복합 주성분 식물병 방제용 친환경 살균제,농업회사법인 투엠바이오 주식회사,,남명흔,2024-12-27,2026-12-26
NET,23-182,비침습 무제모 방식 센서로 동물의 뇌파 수집 분석을 통한 마취심도 측정 기술,주식회사 브레인유,,홍승균,2024-12-27,2027-12-26
NET,교통-64,절곡레일만으로 블록아웃을 확보하는 교량용 방호울타리,주식회사 케이씨이엔지니어링,1388160772,윤종남,2024-12-24,2032-12-23
NET,2024-281,식용식물을 주성분으로 하는 천연 해충관리제,달마시안제충국,,,2024-12-20,2027-12-19
NET,2024-282,방어효과가 탁월한 신개념 돼지 마이코플라스마성 폐렴 예방백신(이노마이코 백신),(주)이노백,,,2024-12-20,2027-12-19
NET,2024-283,농업 빅데이터와 인공지능을 활용해 온실을 자동 관리하는  소프트웨어 플랫폼,(주)유비엔,,,2024-12-20,2027-12-19
NET,2024-284,스마트팜에서 대량재배되는 신선한 새싹을 첨가한 혼합섬유질사료,(주)가파,,,2024-12-20,2027-12-19
NET,2024-285,잇몸건강 개선 천연식품 (잇몸튼튼 티즈텐),(주)파미니티,,,2024-12-20,2027-12-19
NET,2024-286,LED적용 벤조피렌Free 흑삼(블랙나인 (BLACK9) 발효흑삼정),(주)나투어바이오제약,,,2024-12-20,2027-12-19
NET,2024-287,시설원예의  생산량과 품질향상을 위한  안전한 촉매형 탄산가스 발생기(탄사니),주식회사 다온알에스,,,2024-12-20,2027-12-19
NET,AT-24-00510,바이오매스 합성수지 기반의 부분생분해 수지 제조기술,㈜에코매스,,,2024-12-19,2027-12-18
NET,AT-24-00509,튀김 요리 조리시 발생하는 유증기 회수(포집) 기술,㈜코발트테크놀러지,,,2024-12-19,2027-12-18
NET,ATP-24-00738,수성형 플렉소 잉크를 활용한 플라스틱 포장재,㈜유래코,,,2024-12-19,2027-12-18
NET,AT-24-00521,수성형 플렉소 잉크를 활용한 플라스틱 포장재 제조기술,㈜유래코,,,2024-12-19,2027-12-18
NET,AT-24-00472,농업용 유산균 포스트바이오틱스 킬레이션 비료 제조 기술,주식회사 키움,,,2024-12-19,2027-12-18
NET,ATP-24-00693,"목재 플라스틱 복합재(합성목재)	",주식회사 본우드,,,2024-12-19,2027-12-18
NET,ATP-24-00692,목재 플라스틱 복합재(합성목재),주식회사 본우드,,,2024-12-19,2027-12-18
NET,AT-24-00496,직압출 성형방식의 목재 플라스틱 복합재(합성목재) 제조기술,주식회사 본우드,,,2024-12-19,2027-12-18
NET,AT-24-00491,"Teaseed오일과 Bacillus velenzensis 대사산물을 주성분으로 하는 나노제형 천연 살균제 제조 기술	",농업회사법인투엠바이오㈜,,,2024-12-19,2027-12-18
NET,AT-24-00490,Cinnamaldehyde와 Bacillus veleznsis 대사산물을 주성분으로하는 나노제형 토양선충 방제제 제조 기술,농업회사법인투엠바이오㈜,,,2024-12-19,2027-12-18
NET,AT-24-00477,홍삼 유래 당류 제조기술,한국인삼공사,,,2024-12-19,2027-12-18
NET,AT-24-00498,축분의 친환경 관리를 위한 자주식 퇴비 사각 성형 및 비닐 포장 기술,주식회사 라이브맥,,,2024-12-19,2027-12-18
NET,AT-24-00498,,주식회사 라이브맥,,,2024-12-19,2027-12-18
NET,AT-24-00496,,주식회사 본우드,,,2024-12-19,2027-12-18
NET,ATP-24-00692,,주식회사 본우드,,,2024-12-19,2027-12-18
NET,ATP-24-00693,,주식회사 본우드,,,2024-12-19,2027-12-18
NET,AT-24-00490,,농업회사법인투엠바이오㈜,,,2024-12-19,2027-12-18
NET,AT-24-00510,,㈜에코매스,,,2024-12-19,2027-12-18
NET,AT-24-00509,,㈜코발트테크놀러지,,,2024-12-19,2027-12-18
NET,AT-24-00521,,㈜유래코,,,2024-12-19,2027-12-18
NET,ATP-24-00738,,㈜유래코,,,2024-12-19,2027-12-18
NET,AT-24-00477,,한국인삼공사,,,2024-12-19,2027-12-18
NET,AT-24-00472,,주식회사 키움,,,2024-12-19,2027-12-18
NET,AT-24-00491,,농업회사법인투엠바이오㈜,,,2024-12-19,2027-12-18
NET,ATP-24-00697,,달마시안 제충국,,,2024-11-21,2027-11-20
NET,AT-24-00488,,달마시안 제충국,,,2024-11-21,2027-11-20
NET,AT-24-00421,,그린팜 주식회사,,,2024-11-21,2027-11-20
NET,AT-24-00488,식용식물을 유효성분으로 하는 천연살충제 제조기술,달마시안 제충국,,,2024-11-21,2027-11-20
NET,AT-24-00421,플라즈마를 이용한 대기질소 비료화 기술,그린팜 주식회사,,,2024-11-21,2027-11-20
NET,ATP-24-00697,식용식물을 유효성분으로 하는 천연살충제,달마시안 제충국,,,2024-11-21,2027-11-20
NET,교통-63,양자점을 이용한 발광형 표지 기술,(주)피엘티,4038148328,최규영,2024-11-14,2032-11-13
NET,AT-24-00427,,주식회사 에스피씨팩,,,2024-10-24,2027-10-23
NET,AT-24-00411,,㈜목양산업,,,2024-10-24,2027-10-23
NET,ATP-24-00572,,주식회사 에스피씨팩,,,2024-10-24,2027-10-23
NET,ATP-24-00563,,㈜목양산업,,,2024-10-24,2027-10-23
NET,ATP-24-00563,플라스틱 백 제대기를 이용한 포장재,㈜목양산업,,,2024-10-24,2027-10-23
NET,AT-24-00427,유독물 대체 잉크를 이용한 포장재 제조기술,주식회사 에스피씨팩,,,2024-10-24,2027-10-23
NET,AT-24-00411,플라스틱 백 제대기의 실바 및 히터모듈을 이용한 폐기물 저감 기술,㈜목양산업,,,2024-10-24,2027-10-23
NET,ATP-24-00572,유독물 대체 잉크를 이용한 포장지,주식회사 에스피씨팩,,,2024-10-24,2027-10-23
NET,2024-190,텔레스코픽 가이드 기술을 적용한 수문 설비,해전산업 주식회사,,,2024-10-24,2027-10-23
NET,ATP-24-00465,부산물을 재활용하여 품질이 향상된 합성목재,주식회사 남경에스텍,,,2024-09-12,2027-04-24
NET,ATP-24-00443,유해성 저감형 연포장재 제품,주식회사 풍림P&P,,,2024-09-12,2026-04-19
NET,ATP-24-00381,바이오소재를 이용한 식품용기,주식회사 더자연,,,2024-09-12,2026-07-15
NET,ATP-24-00465,,주식회사 남경에스텍,,,2024-09-12,2027-04-24
NET,ATP-24-00381,,주식회사 더자연,,,2024-09-12,2026-07-15
NET,ATP-24-00443,,주식회사 풍림P&P,,,2024-09-12,2026-04-19
NET,AT-24-00216,,키움바이오,,,2024-07-25,2027-07-24
NET,AT-24-00194,,주식회사 슈거아트,,,2024-07-25,2027-07-24
NET,AT-24-00194,식물 잎을 통한 기능성 당의 대량 흡수 촉진 기술,주식회사 슈거아트,,,2024-07-25,2027-07-24
NET,AT-24-00216,미생물 배양 후 버려진 폐배양액을 활용하는 미생물 대사산물 비료 제조기술,키움바이오,,,2024-07-25,2027-07-24
NET,51-122,,코리아소프트(주),,남연지,2024-07-20,2026-07-19
NET,51-122,,코리아소프트(주),,남연지,2024-07-20,2026-07-19
NET,51-122,식용굼벵이 생육환경 통합 자동 사육시스템,코리아소프트(주),,남연지,2024-07-20,2026-07-19
NET,51-122,,코리아소프트(주),,남연지,2024-07-20,2026-07-19
NET,2024-046,곤충특화 스마트팩토리,코리아소프트㈜,,,2024-07-18,2027-07-17
NET,2024-047,토양 보수력 증진용 나노복합체 하이드로겔 기반 토양개량제,㈜테라그린,,,2024-07-18,2027-07-17
NET,2024-048,가축번식 능력 개선용 방향제 리프로센트,주식회사 솔로몬,,,2024-07-18,2027-07-17
NET,2024-049,작업자 진동 감쇄형 진동식 탈봉기술,㈜매일,,,2024-07-18,2027-07-17
NET,2024-045,배액재활용이 가능한 순환식 양액제어기,신한에이텍㈜,,,2024-07-18,2027-07-17
NET,53-180,,(주)협진,,김종서,2024-07-16,2027-07-15
NET,33-178,,(주)네이피,,손정미,2024-07-16,2026-07-15
NET,32-176,,주식회사 엠바이옴쎄라퓨틱스,,강세찬,2024-07-16,2026-07-15
NET,51-179,,(주)부루빌,,장수경,2024-07-16,2027-07-15
NET,33-177,,(주)시선바이오머티리얼스,,박희경,2024-07-16,2026-07-15
NET,32-176,,주식회사 엠바이옴쎄라퓨틱스,,강세찬,2024-07-16,2026-07-15
NET,51-179,,(주)부루빌,,장수경,2024-07-16,2027-07-15
NET,33-177,,(주)시선바이오머티리얼스,,박희경,2024-07-16,2026-07-15
NET,53-180,,(주)협진,,김종서,2024-07-16,2027-07-15
NET,33-177,원유 항생제 잔류물질 one-step 검출 기술,(주)시선바이오머티리얼스,,박희경,2024-07-16,2026-07-15
NET,33-178,,(주)네이피,,손정미,2024-07-16,2026-07-15
NET,51-179,하이브리드 탄소-유리 섬유패널을 이용한 수중 콘크리트 구조물 보강 공법,(주)부루빌,,장수경,2024-07-16,2027-07-15
NET,32-176,에쿠올 생산이 가능한 락토바실러스 파라카제이 JS1을  활용한 칡발효물 제조기술,주식회사 엠바이옴쎄라퓨틱스,,강세찬,2024-07-16,2026-07-15
NET,33-178,아염소산염이 딥코딩 된 제올라이트를 활용한 과발효억제기술,(주)네이피,,손정미,2024-07-16,2026-07-15
NET,53-180,스팀 분사 및 온도제어기술을 적용한 냉동육 진공 해동 기술,(주)협진,,김종서,2024-07-16,2027-07-15
NET,51-179,,(주)부루빌,,장수경,2024-07-16,2027-07-15
NET,32-176,,주식회사 엠바이옴쎄라퓨틱스,,강세찬,2024-07-16,2026-07-15
NET,33-178,,(주)네이피,,손정미,2024-07-16,2026-07-15
NET,53-180,,(주)협진,,김종서,2024-07-16,2027-07-15
NET,33-177,,(주)시선바이오머티리얼스,,박희경,2024-07-16,2026-07-15
NET,53-106,,한국기계연구원,,류석현,2024-07-13,2026-07-12
NET,53-105,,(주)대신에이씨엠,,이학남,2024-07-13,2026-07-12
NET,53-107,,(주)다온알에스,,정필수,2024-07-13,2026-07-12
NET,53-105,무선 조종 자주식 시금치 수확 기술,(주)대신에이씨엠,,이학남,2024-07-13,2026-07-12
NET,53-107,식물재배용 촉매연소식 이산화탄소 발생 기술,(주)다온알에스,,정필수,2024-07-13,2026-07-12
NET,53-106,축산분뇨(섬유질 포함) 고액 분리기술,한국기계연구원,,류석현,2024-07-13,2026-07-12
NET,53-106,,한국기계연구원,,류석현,2024-07-13,2026-07-12
NET,53-107,,(주)다온알에스,,정필수,2024-07-13,2026-07-12
NET,53-105,,(주)대신에이씨엠,,이학남,2024-07-13,2026-07-12
NET,53-105,,(주)대신에이씨엠,,이학남,2024-07-13,2026-07-12
NET,53-107,,(주)다온알에스,,정필수,2024-07-13,2026-07-12
NET,53-106,,한국기계연구원,,류석현,2024-07-13,2026-07-12
NET,AT-24-00233,식용굼벵이 생육환경 통합 자동 사육시스템 제어기술,코리아소프트,,,2024-06-20,2027-06-19
NET,AT-24-00233,,코리아소프트,,,2024-06-20,2027-06-19
NET,ATP-24-00272,,이안스주식회사,,,2024-05-23,2026-11-29
NET,ATP-24-00272,보배맘 (갈파래를 활용한 반추동물 메탄가스 저감 사료 첨가제),이안스주식회사,,,2024-05-23,2026-11-29
NET,교통-62,도로 비굴착식 스마트 IoT 물 분사 시스템 공법,블락스톤 주식회사,1308643997,,2024-05-17,2032-05-16
NET,v,,한국콜마,,,2024-04-25,2025-12-14
NET,AT-24-00127,,주식회사 남경에스텍,,,2024-04-25,2027-04-24
NET,ATP-24-00225,,주식회사 자연동화,,,2024-04-25,2026-07-15
NET,ATP-24-00225,곡물 유래의 식물성 재료와 도자기 제조법을 응용한 식품용기,주식회사 자연동화,,,2024-04-25,2026-07-15
NET,v,무기 자외선차단제를 함유한 선케어 화장료,한국콜마,,,2024-04-25,2025-12-14
NET,AT-24-00127,부산물을 재활용하여 품질이 향상된 합성목재 제조기술,주식회사 남경에스텍,,,2024-04-25,2027-04-24
NET,건설-987,재생수지를 활용한 URO시트 및 엠보시트와 이를 이용한 터널내 방수구조 및 시공방 법(TDM 방수공법),(주)삼송마그마,2198106965,황석창,2024-03-29,2032-03-28
NET,건설-786,플라스틱 블록과 레진콘크리트 지지기둥을 사용하여 통로를 갖는 빗물저류조 시공방법,(주)한국수안,3018157628,이동섭,2024-03-15,2029-03-22
NET,제2024-5호,레이크 표면 돌기 및 진동기를 장착한 이물질 제거 기능 로터리 제진기,뉴월드,5022625977,김재령,2024-03-15,2029-03-14
NET,건설-986,원형단면 중심부에 관통홀을 형성한 강재 통공앵커를 사용한 교량받침 교체 공법(EPF 교량받침 교체공법),(주)케이지엔지니어링종합건축사사무소,1278160942,천병희,2024-03-15,2032-03-14
NET,건설-986,원형단면 중심부에 관통홀을 형성한 강재 통공앵커를 사용한 교량받침 교체 공법(EPF 교량받침 교체공법),(주)지승씨앤아이,1068647122,박종면,2024-03-15,2032-03-14
NET,건설-786,플라스틱 블록과 레진콘크리트 지지기둥을 사용하여 통로를 갖는 빗물저류조 시공방법,(주)홍익기술단,3158105115,성낙전,2024-03-15,2029-03-22
NET,ATP-24-00115,고농도 수성잉크와 고선수 저심도 동판을 적용한 유해성 저감 포장재,㈜천일,,,2024-03-14,2025-10-19
NET,ATP-24-00038,동백유박 업사이클링을 통한 다용도 피부 기능성 신소재 적용 제품,아모레퍼시픽,,,2024-03-14,2026-06-14
NET,ATP-24-00057,프로테고, 한솔제지,,,2024-03-14,2026-11-29
NET,ATP-24-00058,홍삼 지용성 분획 소재화 기술 적용 건강기능식품, 한국인삼공사,,,2024-03-14,2025-12-14
NET,ATP-24-00015,지하수 열원을 활용한 침지식 열교환 시스템, (주)인터텍,,,2024-03-14,2026-07-26
NET,AT-23-00530,버려진 아이스팩을 활용한 친환경 저온유지 튜브랙 개발기술,커스텀텍,,,2024-03-14,2027-03-13
NET,ATP-24-00115,,㈜천일,,,2024-03-14,2025-10-19
NET,ATP-24-00058,, 한국인삼공사,,,2024-03-14,2025-12-14
NET,ATP-24-00038,,아모레퍼시픽,,,2024-03-14,2026-06-14
NET,AT-23-00530,,커스텀텍,,,2024-03-14,2027-03-13
NET,ATP-24-00057,, 한솔제지,,,2024-03-14,2026-11-29
NET,ATP-24-00015,, (주)인터텍,,,2024-03-14,2026-07-26
NET,건설-985,고소작업차와 다기능 케이지를 이용하여 석면 슬레이트를 해체·제거하는 기술 (슬 레이터 공법),더조은환경기술주식회사,3538800431,정민섭,2024-03-07,2032-03-06
NET,건설-985,고소작업차와 다기능 케이지를 이용하여 석면 슬레이트를 해체·제거하는 기술 (슬 레이터 공법),(주)종합건축사사무소그룹예성,1028139038,정철수/박재호,2024-03-07,2032-03-06
NET,건설-985,고소작업차와 다기능 케이지를 이용하여 석면 슬레이트를 해체·제거하는 기술 (슬 레이터 공법),(주)서영엔지니어링,1388104348,김종흔,2024-03-07,2032-03-06
NET,건설-984,초경량 보수재와 급결제를 선 혼입형 삼중 노즐로 동시 뿜칠하여 시공효율을 향상시킨  콘크리트 보수공법(LARM REPAIR SYSTEM),태정산업개발(주),6158122085,손종근,2024-03-07,2032-03-06
NET,건설-984,초경량 보수재와 급결제를 선 혼입형 삼중 노즐로 동시 뿜칠하여 시공효율을 향상시킨  콘크리트 보수공법(LARM REPAIR SYSTEM),(주) 효상토건,1188110278,김명식,2024-03-07,2032-03-06
NET,건설-984,초경량 보수재와 급결제를 선 혼입형 삼중 노즐로 동시 뿜칠하여 시공효율을 향상시킨  콘크리트 보수공법(LARM REPAIR SYSTEM),(주)제트콘코리아,1398106989,도영주,2024-03-07,2032-03-06
NET,제2024-4호,비접지계통(저전압 단독계통)의 전기설비 침수 시 누설전류 제한 및 경보기술,(주)정우계전,6168619308,강희열,2024-03-06,2029-03-05
NET,제2024-4호,비접지계통(저전압 단독계통)의 전기설비 침수 시 누설전류 제한 및 경보기술,(주)아이티이,2368700202,김인태,2024-03-06,2029-03-05
NET,인증630호,순환토사 배출량 측정 센서와 투입량 제어시스템을 이용한 건설폐기물 처리 기술,(유)그린환경건설,4078105976,정봉수,2024-02-29,2032-02-28
NET,인증630호,순환토사 배출량 측정 센서와 투입량 제어시스템을 이용한 건설폐기물 처리 기술,(주)다솔이엔티,4078127077,설정자,2024-02-29,2032-02-28
NET,인증630호,순환토사 배출량 측정 센서와 투입량 제어시스템을 이용한 건설폐기물 처리 기술,정봉수,1957092000,정봉수,2024-02-29,2032-02-28
NET,건설-781,프리스트레스트 콘크리트 곡선 거더의 제작을 위한 스마트몰드 시스템 및 전도방지 인양장치를 이용한 시공기술,극동건설(주),2018145083,문정동,2024-02-27,2030-01-14
NET,건설-781,프리스트레스트 콘크리트 곡선 거더의 제작을 위한 스마트몰드 시스템 및 전도방지 인양장치를 이용한 시공기술,(주)삼보기술단,6058124465,신병관,2024-02-27,2030-01-14
NET,건설-781,프리스트레스트 콘크리트 곡선 거더의 제작을 위한 스마트몰드 시스템 및 전도방지 인양장치를 이용한 시공기술,(주)천일,1208122990,김도빈,2024-02-27,2030-01-14
NET,건설-781,프리스트레스트 콘크리트 곡선 거더의 제작을 위한 스마트몰드 시스템 및 전도방지 인양장치를 이용한 시공기술,지에스건설(주),1048118121,허창수,2024-02-27,2030-01-14
NET,건설-781,프리스트레스트 콘크리트 곡선 거더의 제작을 위한 스마트몰드 시스템 및 전도방지 인양장치를 이용한 시공기술,브릿지테크놀러지 주식회사,1018652881,김성재,2024-02-27,2030-01-14
NET,건설-785,맨홀틀 고정장치를 구비한 원형절단기와 콤퍼스형 맨홀높이조절기를 이용한 맨홀보수공법(SM공법),삼서건설(주),2068148921,나남열,2024-02-26,2030-03-13
NET,인증629호,상하 2단 양방향 송풍 타격 장치를 이용한 도로보조기층용 순환골재 이물질 선별기술,코데코(주),6138105023,이도숙,2024-02-26,2032-02-25
NET,인증629호,상하 2단 양방향 송풍 타격 장치를 이용한 도로보조기층용 순환골재 이물질 선별기술,이도에코청주(주),3018130575,차석구이경열,2024-02-26,2032-02-25
NET,인증629호,상하 2단 양방향 송풍 타격 장치를 이용한 도로보조기층용 순환골재 이물질 선별기술,(주)파워리텍,2898601703,정일섭,2024-02-26,2032-02-25
NET,인증628호,탄소나노튜브 섬유 기반의 광이온화 발생장치를 통한 실내공기 청정기술,어썸레이 주식회사,4748101155,김세훈,2024-02-21,2032-02-20
NET,건설-784,다공성 프리스트레스트 콘크리트 거더 및 분절형 다공성 프리스트레스트 콘크리트 거더교의 제작 및 시공방법,삼호개발 (주),2208114806,백승한,2024-02-19,2029-02-28
NET,건설-783,안장형보수로봇을 이용한 하수 연결관 및 단축식보수기를 이용한 하수 본관의 비굴착 부분 보수공법(SRPS공법),수신건설 (주),1218134830,원정민,2024-02-19,2029-02-24
NET,건설-784,다공성 프리스트레스트 콘크리트 거더 및 분절형 다공성 프리스트레스트 콘크리트 거더교의 제작 및 시공방법,현대엔지니어링(주),1018166755,홍현성,2024-02-19,2029-02-28
NET,건설-784,다공성 프리스트레스트 콘크리트 거더 및 분절형 다공성 프리스트레스트 콘크리트 거더교의 제작 및 시공방법,(주)동명기술공단종합건축사사무소,2048108919,신희정,2024-02-19,2029-02-28
NET,건설-784,다공성 프리스트레스트 콘크리트 거더 및 분절형 다공성 프리스트레스트 콘크리트 거더교의 제작 및 시공방법,(주)에이치와이코넨,1148684773,양난경,2024-02-19,2029-02-28
NET,건설-783,안장형보수로봇을 이용한 하수 연결관 및 단축식보수기를 이용한 하수 본관의 비굴착 부분 보수공법(SRPS공법),주식회사 무성건설,2128141433,홍기동,2024-02-19,2029-02-24
NET,건설-783,안장형보수로봇을 이용한 하수 연결관 및 단축식보수기를 이용한 하수 본관의 비굴착 부분 보수공법(SRPS공법),평원개발(주),1248116127,,2024-02-19,2029-02-24
NET,제2024-3호,복합 영상기반 화재감지시스템,(주)창성에이스산업,2128121494,이의용 김영용,2024-02-02,2029-02-01
NET,제2024-2호,제형박스 분절거더와 특수강결장치를 일체화한 합성형 라멘공법,(주)브릿지원이엔씨,1828800770,강용길,2024-02-02,2029-02-01
NET,건설-983,연결부 및 받침 구조를 개선한 터널 강지보재 제작 및 설치공법,(주)터널테크,5198601185,유정렬,2024-01-25,2032-01-24
NET,건설-983,연결부 및 받침 구조를 개선한 터널 강지보재 제작 및 설치공법,(주)유신,2208118141,박석성/한영수,2024-01-25,2032-01-24
NET,AT-23-00459,,주식회사 그린아그로텍 농업회사법인,,,2024-01-25,2027-01-24
NET,AT-23-00502,, 주식회사 리플로그,,,2024-01-25,2027-01-24
NET,AT-23-00557,, 주식회사 리플로그,,,2024-01-25,2027-01-24
NET,AT-23-00547,,아모레퍼시픽,,,2024-01-25,2027-01-24
NET,AT-23-00564,, (주) 부영기업,,,2024-01-25,2027-01-24
NET,ATP-23-00881,, (주) 부영기업,,,2024-01-25,2027-01-24
NET,AT-23-00577,, 농업회사법인주식회사네이처팜,,,2024-01-25,2027-01-24
NET,AT-23-00547,유기용매없이 인삼뿌리 100%를 활용한 Zero waste 친환경 화장품소재 개발기술,아모레퍼시픽,,,2024-01-25,2027-01-24
NET,AT-23-00459,영상기반 페로몬 트랩을 이용한 무인 해충 예찰 시스템,주식회사 그린아그로텍 농업회사법인,,,2024-01-25,2027-01-24
NET,ATP-23-00881, 알코올 베이스 잉크를 이용한 포장재, (주) 부영기업,,,2024-01-25,2027-01-24
NET,AT-23-00577, 감가공부산물의 기능성 소재화 및 제품화를 통한 농산 부산물 재활용 기술, 농업회사법인주식회사네이처팜,,,2024-01-25,2027-01-24
NET,AT-23-00502, 인공지능을 활용한 생육예측 수직농장 운영기술, 주식회사 리플로그,,,2024-01-25,2027-01-24
NET,AT-23-00557,순환식 식물공장의 생육단계에 따른 양액관리기술, 주식회사 리플로그,,,2024-01-25,2027-01-24
NET,AT-23-00564,알코올 베이스 잉크를 이용한 포장재 제조기술, (주) 부영기업,,,2024-01-25,2027-01-24
NET,교통-61,철도차량 대차프레임 자동 평면 포지셔닝 기술,한국철도기술연구원,1388202013,한석윤,2024-01-19,2032-01-18
NET,교통-61,철도차량 대차프레임 자동 평면 포지셔닝 기술,형제금속산업 주식회사,8278700901,채지해,2024-01-19,2032-01-18
NET,교통-61,철도차량 대차프레임 자동 평면 포지셔닝 기술,한국철도기술연구원,1388202013,한석윤,2024-01-19,2032-01-18
NET,교통-61,철도차량 대차프레임 자동 평면 포지셔닝 기술,형제금속산업 주식회사,8278700901,채지해,2024-01-19,2032-01-18
NET,건설-982,바탕 결속 가변형 기능성 도막재와 주름 저감형 방수시트를 전면 부착시켜 표층 분리를 억제한 복합방수공법(Poly-Top SYSTEM),한국석유공업(주),1068103639,김병집/강승모,2024-01-19,2032-01-18
NET,건설-982,바탕 결속 가변형 기능성 도막재와 주름 저감형 방수시트를 전면 부착시켜 표층 분리를 억제한 복합방수공법(Poly-Top SYSTEM),주식회사 금양건설,4438100021,이섬균,2024-01-19,2032-01-18
NET,제2024-1호,협잡물부하감지 및 하부 가변형스크린 기술이 적용된 로터리제진기,(주)삼영이앤티,5088118319,박인호,2024-01-12,2029-01-11
NET,21-161,,아이트,,우광제,2024-01-03,2027-01-02
NET,51-174,,한국농어촌공사(주)삼호인넷(주)코레드,,정심향외 2인,2024-01-03,2026-01-02
NET,52-169,,(주)테라그린,,전호연,2024-01-03,2027-01-02
NET,53-170,,(주)코트론,,고영호,2024-01-03,2027-01-02
NET,53-171,,(주)매일,,박성준,2024-01-03,2027-01-02
NET,51-175,,리플래시기술(주) 솔루션이엔씨㈜ ㈜제일엔지니어링종합건축사사무소 신일동㈜,,이홍원 이희원,2024-01-03,2027-01-02
